Id,CreationStamp,Dataset,Description,Ch_0_0,Ch_0_1,Ch_0_2,Ch_0_3,Ch_0_4,Ch_0_5,Ch_0_6,Ch_0_7,Ch_0_8,Ch_0_9,Ch_0_10,Ch_0_11,Ch_0_12,Ch_0_13,Ch_0_14,Ch_0_15,Ch_0_16,Ch_0_17,Ch_1_0,Ch_1_1,Ch_1_2,Ch_1_3,Ch_1_4,Ch_1_5,Ch_1_6,Ch_1_7,Ch_1_8,Ch_1_9,Ch_1_10,Ch_1_11,Ch_1_12,Ch_1_13,Ch_1_14,Ch_1_15,Ch_1_16,Ch_1_17
6837,2020-10-02 23:10:47Z,Cl_12_11,15,210.5054,460.0639,2271.388,13009.12,5074.495,14114.36,932.1343,3166.917,3010.217,592.4497,7570.387,98.2569,7559.215,70.6067,10195.75,81.23411,16204.71,78.16132,3016.478,56.79458,1288.156,399.741,1168.12,170.0456,267.5004,652.868,293.6255,954.9068,1138.14,958.2036,683.9725,910.0976,189.5004,307.3683,183.9299,218.9642
6838,2020-10-02 23:12:30Z,Cl_12_11,16,203.8378,413.3907,2244.878,12080.3,5322.392,16520.25,973.0858,3168.866,3030.414,599.1821,7664.039,102.8627,8841.188,96.3935,10967.76,91.60442,15974.63,77.06046,3291.148,62.66988,1413.763,375.9032,1303.979,184.6971,322.6723,647.0165,309.4297,914.1486,1138.14,947.7219,643.673,772.4076,201.222,313.8803,182.9568,226.7496
6839,2020-10-02 23:12:51Z,Cl_12_11,17,191.4552,379.1003,2085.814,10838.09,4844.375,14246.71,894.1078,2879.281,2909.231,549.5308,7366.965,96.72164,8025.22,83.50011,10366.28,84.69088,15701.62,77.06046,3240.229,60.22184,1214.809,389.6558,1213.85,178.4813,276.6957,668.7509,289.4665,926.6256,1107.568,945.9749,648.1507,794.7962,193.4076,313.2291,180.0372,219.9374
6840,2020-10-02 23:13:26Z,Cl_12_11,18,223.8406,460.0639,2379.324,12883.19,5740.164,12399.82,936.0344,3052.837,2978.238,565.5202,7805.283,91.34821,8112.403,75.51848,10468.83,80.08185,15791.89,75.95959,2917.577,54.34653,1333.081,416.244,1238.713,181.5892,262.4847,633.6415,288.6347,931.6164,1118.05,938.1136,685.0919,878.7535,190.8027,293.0418,179.0641,238.4277
6841,2020-10-02 23:14:02Z,Cl_12_11,19,202.8853,433.3935,2265.707,12491.21,5114.988,15399.28,971.1357,3163.991,3055.66,599.1821,7617.213,102.0951,8711.025,95.77953,10964.3,91.60442,16325.81,77.06046,3174.621,61.69066,1411.012,389.6558,1286.664,184.6971,315.1489,666.2431,306.9343,941.598,1175.699,981.7875,666.0616,816.0654,200.5708,331.4628,181.0104,234.535
6842,2020-10-02 23:14:32Z,Cl_12_11,20,212.4104,446.7287,2311.154,12736.44,5419.181,15600.76,992.5865,3235.169,3083.432,612.6469,7759.993,103.6303,8782.86,98.23542,11006.93,90.45216,16576.8,80.36305,3287.231,62.66988,1393.592,393.3231,1306.643,188.2489,295.9223,678.7822,307.7661,938.2708,1160.85,975.6731,676.1365,803.7516,200.5708,321.0435,186.8495,230.6423
6843,2020-10-02 23:15:13Z,Cl_12_11,21,203.8378,452.4438,2351.867,13243.93,5765.842,16287.17,952.61,3286.846,3122.143,623.587,8099.286,106.7009,8967.052,86.56996,10981.58,91.60442,16396.26,79.26218,3310.732,63.15949,1338.582,385.9884,1302.647,181.1452,309.2973,677.9462,304.4389,924.1302,1170.458,956.4567,666.0616,785.8408,200.5708,318.4387,181.9836,228.6959
6844,2020-10-02 23:31:01Z,Cl_12_11,22,209.5529,446.7287,2341.452,12824.49,5515.97,13577.09,920.4338,3094.764,3045.562,578.985,7785.324,96.72164,8587.617,78.58833,10753.44,88.14765,15736.85,73.75787,3059.073,59.73223,1351.418,396.9904,1267.572,187.8049,283.3832,626.118,294.4573,919.1394,1142.507,959.0771,668.3005,817.1848,196.6636,343.8357,184.9031,239.4009
6845,2020-10-02 23:31:19Z,Cl_12_11,23,228.6032,469.589,2465.483,13293.16,5758.929,16490.63,982.8361,3198.118,3091.005,594.9744,8039.411,104.398,8103.194,104.9891,10086.28,88.72378,14911.2,71.55614,2712.92,52.87771,1485.276,393.3231,1278.228,212.668,281.7113,573.4539,298.6163,924.1302,1179.193,1001.877,688.4502,835.0957,199.9196,302.1586,176.1445,241.3472
6846,2020-10-02 23:31:40Z,Cl_12_11,24,202.8853,441.9661,2238.25,12655.96,5007.335,13372.65,905.8083,3067.463,2952.15,573.9357,7434.517,93.65112,8059.602,76.13245,10582.33,84.69088,15997.75,75.95959,3085.023,58.2634,1238.647,389.6558,1230.278,176.2614,259.9769,649.5243,284.4757,912.485,1106.695,919.7706,677.2559,857.4843,192.1052,295.6466,183.9299,244.2667
