Id,CreationStamp,Dataset,Description,Ch_0_0,Ch_0_1,Ch_0_2,Ch_0_3,Ch_0_4,Ch_0_5,Ch_0_6,Ch_0_7,Ch_0_8,Ch_0_9,Ch_0_10,Ch_0_11,Ch_0_12,Ch_0_13,Ch_0_14,Ch_0_15,Ch_0_16,Ch_0_17,Ch_1_0,Ch_1_1,Ch_1_2,Ch_1_3,Ch_1_4,Ch_1_5,Ch_1_6,Ch_1_7,Ch_1_8,Ch_1_9,Ch_1_10,Ch_1_11,Ch_1_12,Ch_1_13,Ch_1_14,Ch_1_15,Ch_1_16,Ch_1_17
6938,2020-10-03 02:24:53Z,SO4_12_11,15,203.8378,419.1058,2240.144,12317,5193.011,15795.33,957.4852,3147.416,2971.506,590.7666,7442.193,99.02454,7864.359,100.0773,9999.285,88.72378,15848.03,80.36305,3046.344,60.71144,1394.509,374.0695,1188.987,190.0248,310.1332,632.8055,305.2707,895.0172,1165.218,944.228,658.2256,756.7355,190.8027,306.717,174.1982,217.0179
6939,2020-10-03 02:25:10Z,SO4_12_11,16,220.9831,467.684,2278.963,13377.43,4755.487,14407.69,935.0594,3118.165,2931.111,573.9357,7069.124,93.65112,7071.108,72.44862,9500.357,77.77734,15499.06,74.85873,2791.747,53.36732,1292.74,400.6578,1112.622,174.9294,250.7816,619.4305,282.8121,912.485,1103.201,943.3545,675.017,783.6019,181.0347,322.3459,170.3055,220.9106
6940,2020-10-03 02:26:15Z,SO4_12_11,17,199.0753,439.1086,2292.218,12645.54,5256.22,12225.01,937.9845,3210.793,3068.284,609.2807,7775.345,99.79217,8251.161,92.70967,10635.91,90.45216,16562.49,81.46391,3312.201,65.11792,1254.233,396.0736,1235.605,186.473,285.0551,665.4072,291.9619,932.4482,1171.332,994.0161,673.8976,829.4985,196.6636,301.5074,189.769,255.9448
6941,2020-10-03 02:26:46Z,SO4_12_11,18,224.7931,462.9214,2369.856,13053.62,5299.676,15098.05,996.4866,3246.869,2997.594,589.9251,7401.508,96.72164,8224.146,97.62144,10331.71,83.53862,15066.42,73.75787,2811.332,53.85693,1451.353,396.0736,1281.336,196.6846,286.727,585.157,296.9527,933.28,1157.356,976.5466,687.3308,835.0957,197.3148,293.0418,177.1177,238.4277
6942,2020-10-03 02:27:06Z,SO4_12_11,19,231.4607,489.5918,2418.143,13689.87,5451.773,14659.54,943.8347,3144.491,2960.565,572.2526,7618.748,95.95401,7785.771,79.2023,9990.066,76.04895,14658,72.65701,2530.786,48.47123,1345.917,402.4915,1233.386,189.1369,240.7503,568.4383,277.8213,908.326,1082.237,962.571,672.7782,849.6483,192.1052,289.7857,177.1177,229.6691
6943,2020-10-03 02:27:48Z,SO4_12_11,20,212.4104,432.441,2427.611,12384.23,5652.264,16273.34,987.7113,3156.191,3121.301,597.499,8075.489,101.3274,8710.411,102.5332,11073.19,88.72378,16523.96,81.46391,3234.353,60.71144,1330.331,394.24,1308.863,190.0248,285.891,634.4774,296.9527,923.2984,1180.067,940.7341,687.3308,746.6606,203.1756,288.4833,188.7958,212.152
6944,2020-10-03 02:28:09Z,SO4_12_11,21,234.3183,485.7817,2579.1,13474,6152.01,15419.04,958.4603,3160.091,3115.41,578.1434,8289.659,96.72164,7977.944,79.2023,10301.18,78.35346,14727.35,73.75787,2568.976,48.96084,1357.836,388.7389,1246.705,195.7966,242.4222,555.8992,275.3259,909.1578,1097.96,919.7706,688.4502,836.2151,196.0124,299.5538,179.0641,242.3204
6945,2020-10-03 02:56:20Z,SO4_12_11,22,205.7429,442.9186,2331.037,12886.03,5652.264,16166.68,965.2855,3288.796,3084.273,620.2208,7966.485,104.398,9484.016,98.84939,11573.27,95.63732,16614.23,82.56477,3344.515,65.11792,1375.256,390.5726,1368.8,192.2448,308.4614,687.9775,312.7569,934.9436,1159.103,936.3667,669.4199,847.4095,205.7804,304.7634,187.8226,249.1326
6946,2020-10-03 02:56:40Z,SO4_12_11,23,225.7456,488.6393,2458.856,13420.03,5670.042,14727.69,942.8597,3205.918,3045.562,586.5589,7973.394,99.79217,8229.058,78.58833,10569.65,82.96249,15539.79,77.06046,2759.923,53.85693,1422.931,402.4915,1264.908,193.1327,276.6957,604.3836,297.7845,931.6164,1159.977,985.2814,686.2114,812.7071,199.2684,332.114,180.0372,229.6691
6947,2020-10-03 02:57:04Z,SO4_12_11,24,223.8406,483.8767,2507.143,13761.83,6048.308,14915.34,956.5102,3318.047,3117.094,605.0729,8257.418,99.79217,8518.853,78.58833,10548.91,84.11475,15134.67,74.85873,2719.285,53.85693,1400.01,387.8221,1284.888,197.5726,265.8285,571.782,288.6347,912.485,1145.128,939.8606,681.7336,864.2009,197.3148,317.1363,175.1714,252.0521
